number_of_features,execution_times,fitness,idle_times,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
9700,8.3992,0.5056,37.4512,0.9899,0.2691,0.5197,1.0,1082,ranking,1000,rbtree,linear
10100,8.4605,0.4949,37.3899,0.9828,0.2867,0.5139,1.0,1082,ranking,1000,rbtree,linear
10400,9.034,0.5426,36.8163,1.0625,0.323,0.6279,1.0,1082,ranking,1000,rbtree,linear
10500,8.7897,0.5064,37.0607,1.0345,0.2878,0.5204,1.0,1082,ranking,1000,rbtree,linear
10300,8.6688,0.4863,37.1815,1.012,0.2728,0.5113,1.0,1082,ranking,1000,rbtree,linear
10200,8.6351,0.4966,37.2153,1.002,0.2762,0.5078,1.0,1082,ranking,1000,rbtree,linear
10700,8.7624,0.4736,42.3798,1.0465,0.2999,0.5085,1.0,1082,ranking,1000,rbtree,linear
10800,9.0586,0.5159,42.0836,1.0681,0.3107,0.5295,1.0,1082,ranking,1000,rbtree,linear
10600,9.1546,0.5526,41.9876,1.0946,0.3169,0.5925,1.0,1082,ranking,1000,rbtree,linear
10900,9.2925,0.5009,41.8498,1.0879,0.3306,0.5183,1.0,1082,ranking,1000,rbtree,linear
11000,9.1534,0.4116,41.9888,1.0969,0.3087,0.4715,1.0,1082,ranking,1000,rbtree,linear
11200,9.2636,0.423,41.8786,1.0792,0.3026,0.4819,1.0,1082,ranking,1000,rbtree,linear
11300,9.6134,0.5569,41.5289,1.1393,0.3325,0.5924,1.0,1082,ranking,1000,rbtree,linear
11100,9.2919,0.5124,41.8503,1.0862,0.3329,0.5143,1.0,1082,ranking,1000,rbtree,linear
11400,9.4297,0.5203,41.7125,1.0948,0.334,0.5333,1.0,1082,ranking,1000,rbtree,linear
11500,9.9378,0.5833,41.2044,1.2021,0.3557,0.6283,1.0,1082,ranking,1000,rbtree,linear
11700,9.6095,0.5439,41.5327,1.1777,0.331,0.6327,1.0,1082,ranking,1000,rbtree,linear
11800,9.6587,0.4799,41.4835,1.1331,0.312,0.522,1.0,1082,ranking,1000,rbtree,linear
11600,9.5992,0.5563,41.543,1.1571,0.3298,0.6203,1.0,1082,ranking,1000,rbtree,linear
11900,9.869,0.5847,41.2732,1.1748,0.3646,0.623,1.0,1082,ranking,1000,rbtree,linear
12000,10.0484,0.5623,41.0938,1.2104,0.3585,0.6218,1.0,1082,ranking,1000,rbtree,linear
12100,9.6772,0.5042,46.5667,1.1187,0.3281,0.53,1.0,1082,ranking,1000,rbtree,linear
12400,9.9596,0.4731,46.2842,1.1783,0.3186,0.5212,1.0,1082,ranking,1000,rbtree,linear
12500,10.2558,0.5078,45.9881,1.2264,0.3624,0.5425,1.0,1082,ranking,1000,rbtree,linear
