23/09/15 15:11:03 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
INFO:root:Metaheuristic results will be saved in "/home/big_data/data/paper-binary-black-hole-algorithm/Results/BBHA_1694790673_5066526/result_2023-09-15_15_11_13.csv"
INFO:root:Metrics will be saved in JSON files (one per iteration) inside folder "Results/BBHA_1694790673_5066526"
INFO:root:Running 10 independent runs of the BBHA experiment with 25 iterations and 60 stars
INFO:root:Metric: log-likelihood | Model: clustering | Parameters: 2_clusters_kmeans_algorithm_log-likelihood_score_method | Random state: 13
INFO:root:Survival dataset: "Breast_Invasive_Carcinoma"
INFO:root:	Samples (rows): 1082 | Features (columns): 19727
INFO:root:	Y shape: 1082
INFO:root:Fitness function with 19727 features: 5.047074794769287 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with all the features finished in 5.0907957553863525 seconds
INFO:root:log-likelihood with all the features: -0.7886867366168692
INFO:root:Running normal algorithm 
INFO:root:Independent run 1/10
INFO:root:Initializing stars...
INFO:root:Fitness function with 446 features: 0.9778401851654053 seconds | Log Likelihood (higher is better): -0.7885288582567598
INFO:root:Fitness function with 12374 features: 2.798726797103882 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 465 features: 1.040771722793579 seconds | Log Likelihood (higher is better): -0.7886633339201742
INFO:root:Fitness function with 509 features: 1.027357816696167 seconds | Log Likelihood (higher is better): -0.7885916682153847
INFO:root:Fitness function with 6989 features: 2.3783929347991943 seconds | Log Likelihood (higher is better): -0.7885044918981523
INFO:root:Fitness function with 2046 features: 1.2779278755187988 seconds | Log Likelihood (higher is better): -0.7886792915392765
INFO:root:Fitness function with 3260 features: 1.5536894798278809 seconds | Log Likelihood (higher is better): -0.7885293000946416
INFO:root:Fitness function with 17814 features: 3.3099074363708496 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 6200 features: 1.6624441146850586 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 16091 features: 3.386657953262329 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 10287 features: 2.629488468170166 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 4045 features: 1.6304807662963867 seconds | Log Likelihood (higher is better): -0.7886142586421727
INFO:root:Fitness function with 985 features: 0.9896535873413086 seconds | Log Likelihood (higher is better): -0.7886382580556758
INFO:root:Fitness function with 5238 features: 1.7505686283111572 seconds | Log Likelihood (higher is better): -0.7884101833007264
INFO:root:Fitness function with 3546 features: 1.2611119747161865 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 16816 features: 3.9565212726593018 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 1331 features: 0.9172117710113525 seconds | Log Likelihood (higher is better): -0.7885452924398891
INFO:root:Fitness function with 7237 features: 2.0507307052612305 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 5878 features: 1.9614896774291992 seconds | Log Likelihood (higher is better): -0.7885957221650733
INFO:root:Fitness function with 3516 features: 1.524029016494751 seconds | Log Likelihood (higher is better): -0.7881154934345335
INFO:root:Fitness function with 6609 features: 2.2530221939086914 seconds | Log Likelihood (higher is better): -0.7886260589924664
INFO:root:Fitness function with 8771 features: 2.7232673168182373 seconds | Log Likelihood (higher is better): -0.7878376653455588
INFO:root:Fitness function with 14941 features: 3.482722520828247 seconds | Log Likelihood (higher is better): -0.7884935864046396
INFO:root:Fitness function with 11924 features: 2.939500570297241 seconds | Log Likelihood (higher is better): -0.7886869152330056
INFO:root:Fitness function with 17742 features: 4.14545750617981 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 1837 features: 1.2092552185058594 seconds | Log Likelihood (higher is better): -0.7884445304796541
INFO:root:Fitness function with 17341 features: 3.570479393005371 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with 11400 features: 2.52341365814209 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Iteration 2/25
INFO:root:Fitness function with 4146 features: 1.5734879970550537 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 6922 features: 1.5785555839538574 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Changing Black hole for star 1, BH fitness -> -0.7871076656847883 | Star 1 fitness -> -0.7871076656847883
INFO:root:Fitness function with 10491 features: 2.3917462825775146 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 6251 features: 2.180915594100952 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 10043 features: 2.2679929733276367 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 7197 features: 1.8124573230743408 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Changing Black hole for star 5, BH fitness -> -0.7871076656847883 | Star 5 fitness -> -0.7866380665020002
INFO:root:Fitness function with 9600 features: 2.540374279022217 seconds | Log Likelihood (higher is better): -0.7886726775971944
