Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of iterations,Time by iteration,Max iterations,Optimizer,Kernel
21,100,2.1615,0.6878,0.0,0.0057,12,0.0083,1000,avltree,1
17,100,1.9714,0.5949,0.0,0.003,11,0.0053,1000,avltree,1
21,100,2.1064,0.6209,0.0,0.003,14,0.0063,1000,avltree,1
25,100,2.1739,0.7203,0.0,0.0031,15,0.0095,1000,avltree,1
26,100,2.1808,0.6482,0.0,0.0031,16,0.0072,1000,avltree,1
26,100,2.2623,0.5356,0.0,0.003,18,0.0085,1000,avltree,1
14,100,2.0235,0.7199,0.0,0.0026,9,0.0056,1000,avltree,1
31,100,2.2028,0.6698,0.0,0.0029,18,0.0113,1000,avltree,1
33,100,2.204,0.7953,0.0,0.0028,18,0.0113,1000,avltree,1
29,100,2.1908,0.743,0.0,0.0027,16,0.009,1000,avltree,1
22,100,2.1538,0.6242,0.0,0.0058,14,0.0105,1000,avltree,1
31,100,2.2806,0.7053,0.0,0.0031,16,0.0107,1000,avltree,1
22,100,2.1737,0.6714,0.0,0.0023,14,0.0056,1000,avltree,1
24,100,2.1245,0.7596,0.0,0.0028,15,0.0059,1000,avltree,1
23,100,1.9311,0.5918,0.0,0.0044,12,0.0088,1000,avltree,1
20,100,2.1389,0.7288,0.0,0.0062,14,0.0066,1000,avltree,1
24,100,2.1646,0.7648,0.0,0.006,14,0.0059,1000,avltree,1
23,100,2.1168,0.7396,0.0,0.0028,15,0.006,1000,avltree,1
23,100,2.1322,0.7814,0.0,0.0029,14,0.0074,1000,avltree,1
21,100,2.0172,0.718,0.0,0.003,14,0.0055,1000,avltree,1
21,100,2.1638,0.7549,0.0,0.0027,13,0.0066,1000,avltree,1
24,100,2.1742,0.7094,0.0,0.0055,15,0.0124,1000,avltree,1
25,100,2.0832,0.7105,0.0,0.0044,15,0.008,1000,avltree,1
21,100,1.9456,0.7389,0.0,0.0029,12,0.0108,1000,avltree,1
19,100,2.0684,0.5748,0.0,0.003,11,0.0096,1000,avltree,1
21,100,2.2268,0.6147,0.0,0.007,12,0.0088,1000,avltree,1
26,100,2.067,0.7967,0.0,0.0029,15,0.0082,1000,avltree,1
18,100,2.127,0.5664,0.0,0.003,10,0.0064,1000,avltree,1
29,100,2.2121,0.8356,0.0,0.0032,16,0.0092,1000,avltree,1
26,100,2.2437,0.6471,0.0,0.0028,15,0.0086,1000,avltree,1
