Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of trees
10950,149,2.2972,0.6367,0.0,0.084,10
10838,149,2.3063,0.5958,0.0,0.0757,10
9266,149,2.2092,0.6178,0.0,0.0744,10
4756,149,1.9148,0.5893,0.0,0.0385,10
10877,149,2.3213,0.5945,0.0,0.0861,10
6122,149,1.9957,0.5446,0.0,0.0533,10
8751,149,2.1363,0.6185,0.0,0.0631,10
5799,149,2.0073,0.546,0.0,0.0495,10
14191,149,2.466,0.6164,0.0,0.1026,10
2559,149,1.7811,0.6121,0.0,0.033,10
12640,149,2.3954,0.5557,0.0,0.097,10
2813,149,1.7915,0.5715,0.0,0.0311,10
1464,149,1.6953,0.6011,0.0,0.0353,10
13312,149,2.4768,0.6163,0.0,0.1014,10
1063,149,1.6782,0.6134,0.0,0.0261,10
10728,149,2.3157,0.5852,0.0,0.0729,10
12323,149,2.4333,0.6374,0.0,0.0974,10
6987,149,2.1224,0.6066,0.0,0.0655,10
7038,149,2.1125,0.5748,0.0,0.0568,10
1899,149,1.7548,0.5456,0.0,0.0321,10
5652,149,2.0194,0.6201,0.0,0.0512,10
12258,149,2.3421,0.6256,0.0,0.0902,10
1940,149,1.8193,0.5719,0.0,0.0307,10
13544,149,2.4845,0.5683,0.0,0.1006,10
11407,149,2.3318,0.6044,0.0,0.0879,10
14256,149,2.4775,0.5904,0.0,0.1116,10
14278,149,2.4791,0.577,0.0,0.1026,10
8505,149,2.163,0.6132,0.0,0.0682,10
13851,149,2.4585,0.6056,0.0,0.0948,10
7779,149,2.1004,0.5716,0.0,0.0669,10
11933,149,2.3488,0.5723,0.0,0.0822,10
7438,149,2.1143,0.6,0.0,0.0703,10
8711,149,2.196,0.5847,0.0,0.0761,10
4626,149,1.9028,0.6231,0.0,0.0376,10
10579,149,2.2938,0.6352,0.0,0.071,10
2854,149,1.8086,0.6401,0.0,0.0353,10
10706,149,2.3259,0.5818,0.0,0.079,10
7746,149,2.1372,0.5551,0.0,0.0615,10
5808,149,2.0373,0.5562,0.0,0.0532,10
10439,149,2.283,0.5669,0.0,0.0972,10
3430,149,1.8552,0.583,0.0,0.0301,10
4984,149,1.9463,0.5829,0.0,0.0477,10
8634,149,2.1313,0.5859,0.0,0.0676,10
2753,149,1.786,0.6115,0.0,0.0309,10
10874,149,2.2638,0.6209,0.0,0.0838,10
873,149,1.5223,0.5388,0.0,0.0184,10
984,149,1.6427,0.6223,0.0,0.0263,10
7076,149,2.0774,0.5815,0.0,0.0626,10
11122,149,2.3254,0.5776,0.0,0.0826,10
8919,149,2.1977,0.6225,0.0,0.0721,10
12124,149,2.3674,0.6304,0.0,0.0865,10
10141,149,2.251,0.5445,0.0,0.0703,10
8470,149,2.1458,0.5715,0.0,0.0686,10
1920,149,1.6837,0.6101,0.0,0.0202,10
338,149,1.443,0.5985,0.0,0.0136,10
10428,149,2.2709,0.554,0.0,0.0751,10
9607,149,2.2365,0.6379,0.0,0.0747,10
