Number of features,Number of samples,Execution time,Fitness,Train score,Number of clusters,Algorithm,Scoring method
3019,510,0.2816,0.6065,0.0,2,1,1
561,510,0.1151,0.7092,0.0,2,1,1
986,582,0.1772,0.4945,0.0,2,1,1
927,582,0.1924,0.5485,0.0,2,1,1
1195,582,0.152,0.5063,0.0,2,1,1
1714,582,0.2046,0.5063,0.0,2,1,1
1464,510,0.1692,0.6974,0.0,2,1,1
913,582,0.1467,0.5099,0.0,2,1,1
1243,510,0.169,0.7199,0.0,2,1,1
989,510,0.1349,0.7264,0.0,2,1,1
122,403,0.0762,0.5743,0.0,2,1,1
955,582,0.178,0.5517,0.0,2,1,1
2420,582,0.3456,0.5063,0.0,2,1,1
599,510,0.1039,0.6059,0.0,2,1,1
974,582,0.1601,0.5692,0.0,2,1,1
411,403,0.092,0.5506,0.0,2,1,1
710,510,0.1268,0.7286,0.0,2,1,1
588,510,0.1186,0.7123,0.0,2,1,1
1513,582,0.2003,0.5063,0.0,2,1,1
677,510,0.1189,0.7271,0.0,2,1,1
2066,510,0.2197,0.6065,0.0,2,1,1
1337,582,0.202,0.5089,0.0,2,1,1
206,403,0.0809,0.5835,0.0,2,1,1
1078,582,0.1945,0.4954,0.0,2,1,1
1563,510,0.1637,0.6125,0.0,2,1,1
1006,582,0.1561,0.5063,0.0,2,1,1
1145,582,0.1507,0.5063,0.0,2,1,1
950,582,0.1871,0.5339,0.0,2,1,1
2206,510,0.2158,0.611,0.0,2,1,1
451,510,0.0926,0.7451,0.0,2,1,1
854,510,0.1118,0.7083,0.0,2,1,1
2358,510,0.244,0.6159,0.0,2,1,1
912,403,0.1212,0.572,0.0,2,1,1
698,510,0.1212,0.7214,0.0,2,1,1
1404,510,0.1707,0.6677,0.0,2,1,1
3392,510,0.3247,0.6137,0.0,2,1,1
960,403,0.1392,0.5592,0.0,2,1,1
106,403,0.0719,0.5534,0.0,2,1,1
4649,582,0.466,0.5063,0.0,2,1,1
937,582,0.1997,0.548,0.0,2,1,1
1386,510,0.1725,0.7007,0.0,2,1,1
1631,510,0.173,0.6112,0.0,2,1,1
715,510,0.1215,0.7275,0.0,2,1,1
968,582,0.1422,0.5063,0.0,2,1,1
159,403,0.072,0.5808,0.0,2,1,1
5145,403,0.378,0.5654,0.0,2,1,1
4415,510,0.4084,0.6077,0.0,2,1,1
8424,510,0.6938,0.6082,0.0,2,1,1
7632,510,0.5832,0.6082,0.0,2,1,1
304,403,0.0817,0.5685,0.0,2,1,1
4742,510,0.4245,0.6083,0.0,2,1,1
3428,510,0.3057,0.6118,0.0,2,1,1
3724,403,0.3243,0.5603,0.0,2,1,1
1256,510,0.1592,0.6138,0.0,2,1,1
4008,403,0.2428,0.5632,0.0,2,1,1
3111,510,0.29,0.6124,0.0,2,1,1
1550,582,0.199,0.5063,0.0,2,1,1
491,510,0.1123,0.732,0.0,2,1,1
278,582,0.0866,0.5063,0.0,2,1,1
997,582,0.1522,0.5223,0.0,2,1,1
866,510,0.1287,0.7034,0.0,2,1,1
163,403,0.0913,0.5796,0.0,2,1,1
1001,582,0.1946,0.5142,0.0,2,1,1
1079,510,0.1328,0.7254,0.0,2,1,1
1326,510,0.1774,0.6116,0.0,2,1,1
867,510,0.1296,0.7168,0.0,2,1,1
1248,510,0.1664,0.6165,0.0,2,1,1
20,582,0.0696,0.5068,0.0,2,1,1
8611,582,0.7153,0.5063,0.0,2,1,1
133,403,0.0849,0.5895,0.0,2,1,1
1076,582,0.2202,0.5364,0.0,2,1,1
2076,510,0.2168,0.6099,0.0,2,1,1
977,582,0.1481,0.5063,0.0,2,1,1
1788,582,0.219,0.5063,0.0,2,1,1
1662,582,0.2344,0.5063,0.0,2,1,1
355,403,0.0825,0.5741,0.0,2,1,1
4125,403,0.244,0.5652,0.0,2,1,1
1235,510,0.1667,0.6176,0.0,2,1,1
1024,510,0.1314,0.7187,0.0,2,1,1
458,510,0.0977,0.723,0.0,2,1,1
1597,582,0.2183,0.5063,0.0,2,1,1
953,582,0.1711,0.5617,0.0,2,1,1
719,510,0.1143,0.7169,0.0,2,1,1
1379,510,0.154,0.6168,0.0,2,1,1
123,403,0.0741,0.5858,0.0,2,1,1
133,403,0.0732,0.5876,0.0,2,1,1
165,403,0.0838,0.565,0.0,2,1,1
961,582,0.1579,0.5063,0.0,2,1,1
8997,510,0.8382,0.6065,0.0,2,1,1
5083,403,0.4182,0.5652,0.0,2,1,1
3542,510,0.3662,0.6097,0.0,2,1,1
1095,510,0.1697,0.6873,0.0,2,1,1
1317,510,0.159,0.7065,0.0,2,1,1
413,403,0.0926,0.5661,0.0,2,1,1
572,510,0.108,0.7183,0.0,2,1,1
1639,510,0.1909,0.7044,0.0,2,1,1
563,510,0.107,0.7264,0.0,2,1,1
937,582,0.1818,0.5423,0.0,2,1,1
142,403,0.0788,0.5807,0.0,2,1,1
108,403,0.073,0.5734,0.0,2,1,1
116,403,0.0776,0.5603,0.0,2,1,1
3141,582,0.3663,0.5063,0.0,2,1,1
1095,510,0.1583,0.6178,0.0,2,1,1
6220,403,0.4076,0.5653,0.0,2,1,1
947,582,0.1541,0.5068,0.0,2,1,1
930,582,0.1928,0.5488,0.0,2,1,1
1189,582,0.1555,0.5063,0.0,2,1,1
1611,582,0.2233,0.5063,0.0,2,1,1
1278,582,0.18,0.5063,0.0,2,1,1
1404,510,0.1703,0.6677,0.0,2,1,1
976,582,0.1718,0.5427,0.0,2,1,1
1317,403,0.1581,0.5626,0.0,2,1,1
925,582,0.1414,0.5063,0.0,2,1,1
975,510,0.1755,0.713,0.0,2,1,1
980,582,0.1505,0.5063,0.0,2,1,1
1905,510,0.1925,0.6173,0.0,2,1,1
111,403,0.0732,0.5927,0.0,2,1,1
965,582,0.1603,0.5063,0.0,2,1,1
870,510,0.1215,0.7177,0.0,2,1,1
6876,582,0.9441,0.5063,0.0,2,1,1
4439,582,0.4928,0.5063,0.0,2,1,1
5225,403,0.4222,0.5624,0.0,2,1,1
1266,582,0.1815,0.5521,0.0,2,1,1
1276,403,0.1395,0.5475,0.0,2,1,1
353,403,0.0893,0.5783,0.0,2,1,1
1049,510,0.1487,0.7086,0.0,2,1,1
1013,510,0.1429,0.701,0.0,2,1,1
