number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
10900,28.4028,0.6797,0.2641,0.324,0.9999,29.1,1082,ranking,1000,avltree,rbf
11000,21.7974,0.6311,0.2339,0.3004,0.9999,24.3,1082,ranking,1000,avltree,rbf
11100,23.681,0.6685,0.2399,0.3114,0.9999,25.4,1082,ranking,1000,avltree,rbf
11400,26.0511,0.658,0.2559,0.3216,0.9999,25.9,1082,ranking,1000,avltree,rbf
11500,27.8181,0.6422,0.2721,0.3058,1.0,27.5,1082,ranking,1000,avltree,rbf
11200,27.637,0.6444,0.2592,0.3168,0.9999,28.0,1082,ranking,1000,avltree,rbf
11300,26.203,0.6249,0.2534,0.3288,1.0,27.9,1082,ranking,1000,avltree,rbf
11700,25.4121,0.654,0.2619,0.3236,1.0,26.8,1082,ranking,1000,avltree,rbf
11800,28.7867,0.6449,0.2828,0.3301,1.0,28.2,1082,ranking,1000,avltree,rbf
11600,26.0624,0.6762,0.266,0.3227,1.0,27.6,1082,ranking,1000,avltree,rbf
11900,26.6545,0.6524,0.2705,0.3252,1.0,27.7,1082,ranking,1000,avltree,rbf
12000,29.012,0.6732,0.273,0.349,0.9999,29.2,1082,ranking,1000,avltree,rbf
12300,28.2772,0.6604,0.2646,0.3376,0.9999,27.9,1082,ranking,1000,avltree,rbf
12200,25.2514,0.66,0.2525,0.3372,1.0,25.8,1082,ranking,1000,avltree,rbf
12100,25.1928,0.6409,0.2413,0.3293,0.9999,24.9,1082,ranking,1000,avltree,rbf
12400,28.5518,0.6669,0.2692,0.3512,1.0,28.3,1082,ranking,1000,avltree,rbf
12500,28.4357,0.6511,0.263,0.3899,1.0,27.3,1082,ranking,1000,avltree,rbf
12800,28.7167,0.6521,0.2698,0.3937,0.9999,27.7,1082,ranking,1000,avltree,rbf
12700,25.6494,0.6574,0.2655,0.3686,1.0,25.5,1082,ranking,1000,avltree,rbf
12600,29.5241,0.6628,0.2691,0.3914,1.0,29.2,1082,ranking,1000,avltree,rbf
12900,28.0372,0.6529,0.2638,0.3521,1.0,28.4,1082,ranking,1000,avltree,rbf
13000,28.2598,0.653,0.2641,0.3788,1.0,27.7,1082,ranking,1000,avltree,rbf
13100,27.6308,0.6692,0.2748,0.3435,0.9999,28.5,1082,ranking,1000,avltree,rbf
13400,25.6717,0.6564,0.2538,0.3613,0.9999,25.1,1082,ranking,1000,avltree,rbf
13500,27.751,0.6639,0.2651,0.372,0.9999,27.2,1082,ranking,1000,avltree,rbf
13300,25.6454,0.6422,0.259,0.4039,0.9999,25.9,1082,ranking,1000,avltree,rbf
13200,26.9673,0.6536,0.2666,0.3729,0.9999,27.5,1082,ranking,1000,avltree,rbf
13700,26.5325,0.6496,0.2606,0.3689,1.0,27.3,1082,ranking,1000,avltree,rbf
13800,29.4199,0.6617,0.2717,0.3765,1.0,27.8,1082,ranking,1000,avltree,rbf
13600,26.628,0.6709,0.2589,0.3854,1.0,26.3,1082,ranking,1000,avltree,rbf
13900,29.2381,0.6385,0.2767,0.3853,1.0,28.3,1082,ranking,1000,avltree,rbf
14000,28.8914,0.658,0.2651,0.402,0.9999,26.8,1082,ranking,1000,avltree,rbf
14300,29.7284,0.6638,0.2735,0.3986,1.0,27.8,1082,ranking,1000,avltree,rbf
